farm_name,lat,lon,E_utm,N_utm
01-18,31.59366371180621,48.7703394516463,288448.8945,3497554.9641
01-20,31.593420600357284,48.773004266814375,288701.24199999997,3497522.8540999996
01-22,31.593179343452235,48.775649321739785,288951.7195,3497490.9941
01-24,31.592932182076847,48.77835735917458,289208.162,3497458.3641
01-26,31.592690812940827,48.781002393380454,289458.6395,3497426.5041
01-28,31.59244353483643,48.783710304254306,289715.072,3497393.8740999997
01-30,31.59220205256451,48.78635526504834,289965.5445,3497362.0141
01-32,31.591959088707636,48.78901488364006,290217.40585,3497329.967825
02-01,31.596192531983615,48.74517614540809,286066.61665,3497884.331425
02-03,31.59838775689425,48.72103087352463,283780.288475,3498175.251525
02-05,31.596681798320503,48.73979913605963,285557.45795,3497949.11805
02-07,31.596928114461225,48.73709102963807,285301.02395000006,3497981.745975
02-09,31.597168688789132,48.734445795453105,285050.54445000004,3498013.620025
02-11,31.597414914076058,48.731737615292474,284794.1055,3498046.250725
02-13,31.597655353590294,48.729092361422616,284543.626025,3498078.122275
02-15,31.597893301645964,48.72647382415484,284295.677275,3498109.6709749997
02-17,31.589244109490178,48.22918178531347,237074.79561666664,3498239.8157499996
02-19,31.59838775689425,48.72103087352463,283780.288475,3498175.251525
02-21,31.598627994148423,48.71838557821106,283529.809,3498207.1255500005
02-23,31.598873852246665,48.71567733578389,283273.37004999997,3498239.7537749996
02-25,31.599113977424324,48.713032019793005,283022.89054999995,3498271.6278250003
02-27,31.599113977424324,48.713032019793005,283022.89054999995,3498271.6278250003
02-29,31.59959972944249,48.70767852480159,282515.982025,3498336.12945
02-31,31.599845355605577,48.70497029312331,282259.54805,3498368.75735
02-33,31.600085254183377,48.702324988612375,282009.0735,3498400.631075
02-35,31.600330767578757,48.69961668363688,281752.63454999996,3498433.259325
02-37,31.600532563501783,48.69739048281836,281541.84500000003,3498460.0827249996
02-39,31.600693156596332,48.695618308885145,281374.045775,3498481.4334500004
03-08,31.585695906803245,48.75580257032161,287051.1745,3496699.7741
03-10,31.585454953393857,48.758447454695464,287301.6545,3496667.9091
03-12,31.5852082138154,48.76115644694103,287558.207,3496635.2841
03-14,31.584967193709243,48.76380133594784,287808.6895,3496603.4241
03-16,31.584721555528304,48.76649339518557,288063.639625,3496570.9667499997
03-18,31.584475091708686,48.769195837597564,288319.57450000005,3496538.4041
03-20,31.584232078310006,48.771860178139235,288571.902,3496506.3041000003
03-22,31.583990835664697,48.774505131146405,288822.3945,3496474.4441
03-24,31.583743685628818,48.77721287617773,289078.8345,3496441.8141
03-26,31.583502328493726,48.77985767683617,289329.3145,3496409.9540999997
03-28,31.583255061769194,48.78256529533497,289585.74450000003,3496377.3241
03-30,31.583013592448754,48.785210075262746,289836.2245,3496345.4641000004
03-32,31.58276874066402,48.78789027050962,290090.05937499995,3496313.1672000005
04-01,31.586769488886258,48.74400580601347,285933.98949999997,3496841.8491
04-03,31.587017991025373,48.741274436885085,285675.3245,3496874.7541
04-05,31.587258626676142,48.73862932750302,285424.8295,3496906.6240999997
04-07,31.587504859378182,48.735921485267795,285168.3945,3496939.2441
04-09,31.587745385589084,48.73327651336287,284917.9145,3496971.1141
04-11,31.58799150245074,48.73056859749941,284661.4745,3497003.7341
04-13,31.588231916421122,48.72792360512291,284410.99450000003,3497035.6040999996
04-15,31.58847399953447,48.725258962954314,284158.6545,3497067.7041
04-17,31.588722141761107,48.72252757133603,283899.9945,3497100.6141000004
04-19,31.588964110881918,48.719862908424844,283647.6545,3497132.7141000004
04-21,31.58920430035856,48.7172178751915,283397.1745,3497164.5841
04-23,31.589450072465727,48.71450989659744,283140.7345,3497197.2040999997
04-25,31.589690149684788,48.71186484297868,282890.2545,3497229.0741
04-27,31.589935808749853,48.70915694885238,282633.8245,3497261.6941
04-29,31.591213067712076,48.70664028573217,282397.9445,3497408.3191000004
04-31,31.592373493354284,48.70404549882354,282154.3845,3497542.1516000004
04-33,31.592382985116735,48.701371922030546,281900.6695,3497548.5365999998
04-35,31.592392619391802,48.698650559136766,281642.41949999996,3497555.0391
04-37,31.59242844117447,48.69641954349295,281430.76725000003,3497563.4708000002
05-01,31.57747913971642,48.7465783553536,286156.922,3495806.7541
05-02,31.568272463937333,48.74543640547482,286027.487,3494788.2065999997
05-03,31.577227979242085,48.749337285071284,286418.2245,3495773.5141
05-04,31.56802144609732,48.74819353308273,286288.6445,3494754.9841
05-05,31.576987149090794,48.7519819367772,286668.7045,3495741.6491
05-06,31.567780627284296,48.75083792454409,286539.1245,3494723.1191
05-07,31.57674051310035,48.754689400711605,286925.1345,3495709.0241
05-08,31.567534002921356,48.753545122061084,286795.5545,3494690.4941
05-09,31.576499570310553,48.757334005517905,287175.612,3495677.1591
05-10,31.567293071970898,48.756189492967245,287046.0345,3494658.6291000005
05-11,31.57625281994413,48.76004147470153,287432.0445,3495644.5341
05-12,31.567046332809564,48.758896669424466,287302.4645,3494626.0041
05-13,31.576011810062397,48.7626860578293,287682.522,3495612.6741
